date,platform,content_type,reach,likes,comments,shares,clicks,conversions,engagement,engagement_rate,conversion_rate,hour,day_of_week,month
2024-01-04 22:00:00,Twitter,Carousel,4981,651,64,108,142,13,823,16.52,0.261,22,Thursday,2024-01
2024-01-05 00:00:00,Twitter,Image,4778,229,113,192,263,48,534,11.18,1.005,0,Friday,2024-01
2024-01-05 02:00:00,Instagram,Video,6091,292,88,214,424,58,594,9.75,0.952,2,Friday,2024-01
2024-01-05 04:00:00,Facebook,Image,2956,154,66,144,90,26,364,12.31,0.88,4,Friday,2024-01
2024-01-05 06:00:00,Facebook,Image,2720,119,35,83,149,30,237,8.71,1.103,6,Friday,2024-01
2024-01-05 08:00:00,Facebook,Video,4302,520,103,46,339,8,669,15.55,0.186,8,Friday,2024-01
2024-01-05 10:00:00,Facebook,Text,3317,402,35,50,153,26,487,14.68,0.784,10,Friday,2024-01
2024-01-05 12:00:00,Twitter,Story,2439,243,56,61,80,14,360,14.76,0.574,12,Friday,2024-01
2024-01-05 14:00:00,Facebook,Carousel,3522,157,75,151,194,17,383,10.87,0.483,14,Friday,2024-01
2024-01-05 16:00:00,Instagram,Image,4702,576,82,194,262,26,852,18.12,0.553,16,Friday,2024-01
2024-01-05 18:00:00,Instagram,Image,5607,761,88,191,186,44,1040,18.55,0.785,18,Friday,2024-01
2024-01-05 20:00:00,Instagram,Carousel,4819,221,82,195,247,16,498,10.33,0.332,20,Friday,2024-01
2024-01-05 22:00:00,Instagram,Image,4734,504,31,131,141,14,666,14.07,0.296,22,Friday,2024-01
2024-01-06 00:00:00,Instagram,Video,6817,307,88,207,334,35,602,8.83,0.513,0,Saturday,2024-01
2024-01-06 02:00:00,Instagram,Image,3495,433,27,105,82,6,565,16.17,0.172,2,Saturday,2024-01
2024-01-06 04:00:00,Facebook,Story,3876,495,62,187,88,8,744,19.2,0.206,4,Saturday,2024-01
2024-01-06 06:00:00,Instagram,Image,6017,267,52,190,353,9,509,8.46,0.15,6,Saturday,2024-01
2024-01-06 08:00:00,Instagram,Video,6836,389,51,102,349,25,542,7.93,0.366,8,Saturday,2024-01
2024-01-06 10:00:00,Twitter,Story,2705,205,67,101,208,6,373,13.79,0.222,10,Saturday,2024-01
2024-01-06 12:00:00,Instagram,Video,7982,380,40,293,467,44,713,8.93,0.551,12,Saturday,2024-01
2024-01-06 14:00:00,Facebook,Image,1115,99,14,12,44,3,125,11.21,0.269,14,Saturday,2024-01
2024-01-06 16:00:00,Instagram,Video,8424,602,108,164,217,25,874,10.38,0.297,16,Saturday,2024-01
2024-01-06 18:00:00,Facebook,Image,3331,398,61,106,161,37,565,16.96,1.111,18,Saturday,2024-01
2024-01-06 20:00:00,Facebook,Story,2373,177,48,117,81,25,342,14.41,1.054,20,Saturday,2024-01
2024-01-06 22:00:00,Instagram,Image,4214,518,40,109,187,49,667,15.83,1.163,22,Saturday,2024-01
2024-01-07 00:00:00,Instagram,Video,7600,557,149,203,415,77,909,11.96,1.013,0,Sunday,2024-01
2024-01-07 02:00:00,Facebook,Story,2093,252,46,25,128,5,323,15.43,0.239,2,Sunday,2024-01
2024-01-07 04:00:00,Twitter,Story,3903,313,60,194,109,32,567,14.53,0.82,4,Sunday,2024-01
2024-01-07 06:00:00,Twitter,Story,1106,88,8,18,85,11,114,10.31,0.995,6,Sunday,2024-01
2024-01-07 08:00:00,Facebook,Video,4014,429,58,107,166,30,594,14.8,0.747,8,Sunday,2024-01
2024-01-07 10:00:00,Instagram,Image,3560,347,29,102,189,25,478,13.43,0.702,10,Sunday,2024-01
2024-01-07 12:00:00,Instagram,Text,3243,137,39,133,174,12,309,9.53,0.37,12,Sunday,2024-01
2024-01-07 14:00:00,Instagram,Story,3400,372,55,142,217,26,569,16.74,0.765,14,Sunday,2024-01
2024-01-07 16:00:00,Facebook,Video,3590,237,48,121,182,14,406,11.31,0.39,16,Sunday,2024-01
2024-01-07 18:00:00,Twitter,Video,5091,206,75,109,326,6,390,7.66,0.118,18,Sunday,2024-01
2024-01-07 20:00:00,Instagram,Image,5012,287,72,68,288,35,427,8.52,0.698,20,Sunday,2024-01
2024-01-07 22:00:00,Instagram,Text,2798,225,43,128,88,3,396,14.15,0.107,22,Sunday,2024-01
2024-01-08 00:00:00,Instagram,Image,4683,604,79,198,214,43,881,18.81,0.918,0,Monday,2024-01
2024-01-08 02:00:00,Instagram,Image,5359,703,88,92,193,17,883,16.48,0.317,2,Monday,2024-01
2024-01-08 04:00:00,Twitter,Video,4467,426,74,120,254,8,620,13.88,0.179,4,Monday,2024-01
2024-01-08 06:00:00,Twitter,Carousel,3307,161,27,101,108,13,289,8.74,0.393,6,Monday,2024-01
2024-01-08 08:00:00,Facebook,Story,3511,145,63,129,238,39,337,9.6,1.111,8,Monday,2024-01
2024-01-08 10:00:00,Twitter,Image,2883,121,23,131,136,20,275,9.54,0.694,10,Monday,2024-01
2024-01-08 12:00:00,Instagram,Story,5057,673,126,196,188,53,995,19.68,1.048,12,Monday,2024-01
2024-01-08 14:00:00,Twitter,Text,2837,127,27,130,100,9,284,10.01,0.317,14,Monday,2024-01
2024-01-08 16:00:00,Facebook,Video,6119,391,123,247,237,33,761,12.44,0.539,16,Monday,2024-01
2024-01-08 18:00:00,Twitter,Image,3200,195,78,114,243,13,387,12.09,0.406,18,Monday,2024-01
2024-01-08 20:00:00,Facebook,Image,3354,366,81,86,93,28,533,15.89,0.835,20,Monday,2024-01
2024-01-08 22:00:00,Twitter,Story,3467,391,57,63,174,15,511,14.74,0.433,22,Monday,2024-01
2024-01-09 00:00:00,Twitter,Carousel,5678,650,54,148,205,18,852,15.01,0.317,0,Tuesday,2024-01
2024-01-09 02:00:00,Twitter,Carousel,3401,402,78,84,221,36,564,16.58,1.059,2,Tuesday,2024-01
2024-01-09 04:00:00,Instagram,Story,3778,512,47,89,89,23,648,17.15,0.609,4,Tuesday,2024-01
2024-01-09 06:00:00,Instagram,Image,4796,244,47,108,328,50,399,8.32,1.043,6,Tuesday,2024-01
2024-01-09 08:00:00,Instagram,Text,3326,418,67,52,204,37,537,16.15,1.112,8,Tuesday,2024-01
2024-01-09 10:00:00,Twitter,Image,2855,309,33,85,167,18,427,14.96,0.63,10,Tuesday,2024-01
2024-01-09 12:00:00,Instagram,Video,6911,830,153,107,533,31,1090,15.77,0.449,12,Tuesday,2024-01
2024-01-09 14:00:00,Twitter,Carousel,3577,379,71,151,274,15,601,16.8,0.419,14,Tuesday,2024-01
2024-01-09 16:00:00,Facebook,Story,3343,360,33,150,100,5,543,16.24,0.15,16,Tuesday,2024-01
2024-01-09 18:00:00,Instagram,Image,5197,580,75,228,223,14,883,16.99,0.269,18,Tuesday,2024-01
2024-01-09 20:00:00,Twitter,Story,3022,178,58,92,170,18,328,10.85,0.596,20,Tuesday,2024-01
2024-01-09 22:00:00,Facebook,Text,2663,327,57,102,70,27,486,18.25,1.014,22,Tuesday,2024-01
2024-01-10 00:00:00,Instagram,Image,5474,417,123,213,146,30,753,13.76,0.548,0,Wednesday,2024-01
2024-01-10 02:00:00,Instagram,Text,3545,456,21,171,215,28,648,18.28,0.79,2,Wednesday,2024-01
2024-01-10 04:00:00,Instagram,Video,6466,867,70,265,281,16,1202,18.59,0.247,4,Wednesday,2024-01
2024-01-10 06:00:00,Instagram,Video,6530,268,103,320,275,32,691,10.58,0.49,6,Wednesday,2024-01
2024-01-10 08:00:00,Facebook,Video,4704,395,106,142,237,11,643,13.67,0.234,8,Wednesday,2024-01
2024-01-10 10:00:00,Facebook,Story,813,112,8,10,48,6,130,15.99,0.738,10,Wednesday,2024-01
2024-01-10 12:00:00,Twitter,Carousel,2849,337,25,121,167,15,483,16.95,0.527,12,Wednesday,2024-01
2024-01-10 14:00:00,Facebook,Video,3050,261,30,122,154,13,413,13.54,0.426,14,Wednesday,2024-01
2024-01-10 16:00:00,Facebook,Image,3434,255,20,62,154,11,337,9.81,0.32,16,Wednesday,2024-01
2024-01-10 18:00:00,Instagram,Carousel,5752,230,134,251,371,16,615,10.69,0.278,18,Wednesday,2024-01
2024-01-10 20:00:00,Facebook,Video,4737,393,34,144,193,24,571,12.05,0.507,20,Wednesday,2024-01
2024-01-10 22:00:00,Twitter,Story,3014,307,58,43,66,35,408,13.54,1.161,22,Wednesday,2024-01
2024-01-11 00:00:00,Facebook,Story,3522,261,48,130,177,36,439,12.46,1.022,0,Thursday,2024-01
2024-01-11 02:00:00,Facebook,Image,2441,309,12,100,116,28,421,17.25,1.147,2,Thursday,2024-01
2024-01-11 04:00:00,Instagram,Text,2957,341,29,93,235,30,463,15.66,1.015,4,Thursday,2024-01
2024-01-11 06:00:00,Instagram,Image,4491,223,85,106,91,24,414,9.22,0.534,6,Thursday,2024-01
2024-01-11 08:00:00,Instagram,Text,3231,238,69,32,124,11,339,10.49,0.34,8,Thursday,2024-01
2024-01-11 10:00:00,Twitter,Carousel,3717,235,23,64,198,15,322,8.66,0.404,10,Thursday,2024-01
2024-01-11 12:00:00,Facebook,Carousel,2175,277,50,64,86,4,391,17.98,0.184,12,Thursday,2024-01
2024-01-11 14:00:00,Facebook,Video,3497,473,21,76,132,15,570,16.3,0.429,14,Thursday,2024-01
2024-01-11 16:00:00,Instagram,Story,4421,230,78,66,107,48,374,8.46,1.086,16,Thursday,2024-01
2024-01-11 18:00:00,Twitter,Image,2759,162,59,87,68,31,308,11.16,1.124,18,Thursday,2024-01
2024-01-11 20:00:00,Twitter,Video,5588,317,123,58,283,52,498,8.91,0.931,20,Thursday,2024-01
2024-01-11 22:00:00,Instagram,Video,6870,917,159,293,503,21,1369,19.93,0.306,22,Thursday,2024-01
2024-01-12 00:00:00,Instagram,Carousel,5055,392,65,160,149,43,617,12.21,0.851,0,Friday,2024-01
2024-01-12 02:00:00,Instagram,Image,3687,209,41,111,249,33,361,9.79,0.895,2,Friday,2024-01
2024-01-12 04:00:00,Facebook,Carousel,2844,269,19,71,127,4,359,12.62,0.141,4,Friday,2024-01
2024-01-12 06:00:00,Instagram,Story,4386,295,105,211,180,6,611,13.93,0.137,6,Friday,2024-01
2024-01-12 08:00:00,Twitter,Video,4801,647,37,194,127,56,878,18.29,1.166,8,Friday,2024-01
2024-01-12 10:00:00,Twitter,Carousel,3212,251,65,76,185,9,392,12.2,0.28,10,Friday,2024-01
2024-01-12 12:00:00,Instagram,Video,8145,382,95,183,473,40,660,8.1,0.491,12,Friday,2024-01
2024-01-12 14:00:00,Facebook,Story,2904,159,49,123,124,7,331,11.4,0.241,14,Friday,2024-01
2024-01-12 16:00:00,Facebook,Story,2028,141,36,69,125,10,246,12.13,0.493,16,Friday,2024-01
2024-01-12 18:00:00,Instagram,Image,3932,481,35,113,267,11,629,16.0,0.28,18,Friday,2024-01
2024-01-12 20:00:00,Twitter,Carousel,5196,221,97,117,121,40,435,8.37,0.77,20,Friday,2024-01
2024-01-12 22:00:00,Instagram,Image,3614,231,46,47,104,15,324,8.97,0.415,22,Friday,2024-01
2024-01-13 00:00:00,Instagram,Image,4494,235,50,211,133,52,496,11.04,1.157,0,Saturday,2024-01
2024-01-13 02:00:00,Instagram,Story,3877,234,76,123,283,27,433,11.17,0.696,2,Saturday,2024-01
2024-01-13 04:00:00,Twitter,Image,2087,118,48,48,88,19,214,10.25,0.91,4,Saturday,2024-01
2024-01-13 06:00:00,Twitter,Image,3326,245,79,131,185,35,455,13.68,1.052,6,Saturday,2024-01
2024-01-13 08:00:00,Instagram,Image,3273,374,76,88,132,37,538,16.44,1.13,8,Saturday,2024-01
2024-01-13 10:00:00,Instagram,Story,3892,328,57,93,290,28,478,12.28,0.719,10,Saturday,2024-01
2024-01-13 12:00:00,Facebook,Image,3354,248,45,147,140,32,440,13.12,0.954,12,Saturday,2024-01
2024-01-13 14:00:00,Instagram,Video,7666,1028,133,304,523,78,1465,19.11,1.017,14,Saturday,2024-01
2024-01-13 16:00:00,Instagram,Carousel,5405,433,99,151,350,26,683,12.64,0.481,16,Saturday,2024-01
2024-01-13 18:00:00,Twitter,Story,2775,287,24,110,146,9,421,15.17,0.324,18,Saturday,2024-01
2024-01-13 20:00:00,Facebook,Video,5287,466,49,257,332,60,772,14.6,1.135,20,Saturday,2024-01
2024-01-13 22:00:00,Instagram,Video,6524,539,94,299,336,57,932,14.29,0.874,22,Saturday,2024-01
2024-01-14 00:00:00,Twitter,Video,4842,253,44,48,108,56,345,7.13,1.157,0,Sunday,2024-01
2024-01-14 02:00:00,Facebook,Image,1510,96,27,65,80,4,188,12.45,0.265,2,Sunday,2024-01
2024-01-14 04:00:00,Instagram,Image,5037,569,102,246,274,23,917,18.21,0.457,4,Sunday,2024-01
2024-01-14 06:00:00,Twitter,Carousel,5382,564,34,247,146,24,845,15.7,0.446,6,Sunday,2024-01
2024-01-14 08:00:00,Instagram,Carousel,6153,488,89,271,248,65,848,13.78,1.056,8,Sunday,2024-01
2024-01-14 10:00:00,Twitter,Carousel,5144,251,105,225,158,29,581,11.29,0.564,10,Sunday,2024-01
2024-01-14 12:00:00,Twitter,Image,3612,337,63,64,118,5,464,12.85,0.138,12,Sunday,2024-01
2024-01-14 14:00:00,Twitter,Story,2212,159,35,98,132,12,292,13.2,0.542,14,Sunday,2024-01
2024-01-14 16:00:00,Instagram,Image,4539,299,27,177,123,19,503,11.08,0.419,16,Sunday,2024-01
2024-01-14 18:00:00,Facebook,Text,2295,214,37,78,68,11,329,14.34,0.479,18,Sunday,2024-01
2024-01-14 20:00:00,Instagram,Carousel,6128,691,143,248,340,19,1082,17.66,0.31,20,Sunday,2024-01
2024-01-14 22:00:00,Instagram,Video,7269,775,126,247,358,49,1148,15.79,0.674,22,Sunday,2024-01
2024-01-15 00:00:00,Instagram,Carousel,6044,361,127,105,151,35,593,9.81,0.579,0,Monday,2024-01
2024-01-15 02:00:00,Twitter,Image,1534,162,21,32,82,7,215,14.02,0.456,2,Monday,2024-01
2024-01-15 04:00:00,Twitter,Carousel,2507,285,14,72,100,27,371,14.8,1.077,4,Monday,2024-01
2024-01-15 06:00:00,Instagram,Video,7222,297,115,286,354,14,698,9.66,0.194,6,Monday,2024-01
2024-01-15 08:00:00,Twitter,Video,5134,520,49,150,234,9,719,14.0,0.175,8,Monday,2024-01
2024-01-15 10:00:00,Instagram,Story,4428,224,96,86,140,29,406,9.17,0.655,10,Monday,2024-01
2024-01-15 12:00:00,Twitter,Video,4332,189,26,187,117,6,402,9.28,0.139,12,Monday,2024-01
2024-01-15 14:00:00,Instagram,Story,4208,352,92,86,190,6,530,12.6,0.143,14,Monday,2024-01
2024-01-15 16:00:00,Twitter,Image,4935,479,57,111,130,24,647,13.11,0.486,16,Monday,2024-01
2024-01-15 18:00:00,Instagram,Carousel,4711,235,95,229,368,49,559,11.87,1.04,18,Monday,2024-01
2024-01-15 20:00:00,Facebook,Carousel,4918,336,86,138,240,45,560,11.39,0.915,20,Monday,2024-01
2024-01-15 22:00:00,Instagram,Image,5141,350,58,241,120,32,649,12.62,0.622,22,Monday,2024-01
2024-01-16 00:00:00,Instagram,Image,4663,441,46,110,331,33,597,12.8,0.708,0,Tuesday,2024-01
2024-01-16 02:00:00,Instagram,Video,7812,714,54,83,607,40,851,10.89,0.512,2,Tuesday,2024-01
2024-01-16 04:00:00,Facebook,Video,3889,421,91,128,107,28,640,16.46,0.72,4,Tuesday,2024-01
2024-01-16 06:00:00,Facebook,Image,2945,343,38,133,173,32,514,17.45,1.087,6,Tuesday,2024-01
2024-01-16 08:00:00,Instagram,Carousel,5089,361,45,235,333,42,641,12.6,0.825,8,Tuesday,2024-01
2024-01-16 10:00:00,Twitter,Text,2174,152,18,87,105,7,257,11.82,0.322,10,Tuesday,2024-01
2024-01-16 12:00:00,Facebook,Story,2163,157,31,34,171,7,222,10.26,0.324,12,Tuesday,2024-01
2024-01-16 14:00:00,Twitter,Story,2970,157,26,121,135,21,304,10.24,0.707,14,Tuesday,2024-01
2024-01-16 16:00:00,Twitter,Story,3928,504,26,123,293,20,653,16.62,0.509,16,Tuesday,2024-01
2024-01-16 18:00:00,Instagram,Carousel,5670,697,43,268,369,64,1008,17.78,1.129,18,Tuesday,2024-01
2024-01-16 20:00:00,Instagram,Image,3621,484,38,84,224,34,606,16.74,0.939,20,Tuesday,2024-01
2024-01-16 22:00:00,Facebook,Text,2816,374,25,118,181,4,517,18.36,0.142,22,Tuesday,2024-01
2024-01-17 00:00:00,Facebook,Carousel,2439,171,60,87,153,28,318,13.04,1.148,0,Wednesday,2024-01
2024-01-17 02:00:00,Twitter,Carousel,3536,274,74,96,255,10,444,12.56,0.283,2,Wednesday,2024-01
2024-01-17 04:00:00,Instagram,Video,8116,644,139,225,523,28,1008,12.42,0.345,4,Wednesday,2024-01
2024-01-17 06:00:00,Instagram,Image,3878,177,42,112,116,19,331,8.54,0.49,6,Wednesday,2024-01
2024-01-17 08:00:00,Twitter,Image,2713,266,61,43,151,22,370,13.64,0.811,8,Wednesday,2024-01
2024-01-17 10:00:00,Facebook,Story,2410,197,45,63,121,2,305,12.66,0.083,10,Wednesday,2024-01
2024-01-17 12:00:00,Facebook,Image,3656,160,45,179,165,23,384,10.5,0.629,12,Wednesday,2024-01
2024-01-17 14:00:00,Facebook,Image,3817,500,73,127,259,40,700,18.34,1.048,14,Wednesday,2024-01
2024-01-17 16:00:00,Twitter,Text,704,55,17,26,17,7,98,13.92,0.994,16,Wednesday,2024-01
2024-01-17 18:00:00,Instagram,Video,5095,448,32,162,229,54,642,12.6,1.06,18,Wednesday,2024-01
2024-01-17 20:00:00,Instagram,Image,4921,471,29,240,249,20,740,15.04,0.406,20,Wednesday,2024-01
2024-01-17 22:00:00,Facebook,Video,4098,356,90,90,129,9,536,13.08,0.22,22,Wednesday,2024-01
2024-01-18 00:00:00,Twitter,Carousel,4949,431,47,82,197,56,560,11.32,1.132,0,Thursday,2024-01
2024-01-18 02:00:00,Instagram,Text,2130,158,52,62,65,23,272,12.77,1.08,2,Thursday,2024-01
2024-01-18 04:00:00,Instagram,Image,5950,823,35,82,376,24,940,15.8,0.403,4,Thursday,2024-01
2024-01-18 06:00:00,Twitter,Story,2605,152,15,28,173,6,195,7.49,0.23,6,Thursday,2024-01
2024-01-18 08:00:00,Instagram,Image,6379,528,35,263,131,59,826,12.95,0.925,8,Thursday,2024-01
2024-01-18 10:00:00,Instagram,Text,2127,275,29,66,103,11,370,17.4,0.517,10,Thursday,2024-01
2024-01-18 12:00:00,Twitter,Story,3757,498,91,114,177,15,703,18.71,0.399,12,Thursday,2024-01
2024-01-18 14:00:00,Twitter,Story,1627,221,12,54,60,6,287,17.64,0.369,14,Thursday,2024-01
2024-01-18 16:00:00,Twitter,Video,5208,251,42,143,263,20,436,8.37,0.384,16,Thursday,2024-01
2024-01-18 18:00:00,Instagram,Text,2198,157,14,48,171,25,219,9.96,1.137,18,Thursday,2024-01
2024-01-18 20:00:00,Twitter,Carousel,4798,628,24,203,368,9,855,17.82,0.188,20,Thursday,2024-01
2024-01-18 22:00:00,Instagram,Image,3012,169,72,94,62,11,335,11.12,0.365,22,Thursday,2024-01
2024-01-19 00:00:00,Instagram,Story,5535,627,137,119,289,38,883,15.95,0.687,0,Friday,2024-01
2024-01-19 02:00:00,Twitter,Image,2814,226,23,138,200,18,387,13.75,0.64,2,Friday,2024-01
2024-01-19 04:00:00,Twitter,Story,1781,168,33,54,141,13,255,14.32,0.73,4,Friday,2024-01
2024-01-19 06:00:00,Facebook,Video,4895,377,100,82,210,23,559,11.42,0.47,6,Friday,2024-01
2024-01-19 08:00:00,Twitter,Carousel,5308,469,110,175,215,52,754,14.2,0.98,8,Friday,2024-01
2024-01-19 10:00:00,Twitter,Image,2922,186,27,88,104,3,301,10.3,0.103,10,Friday,2024-01
2024-01-19 12:00:00,Instagram,Video,7331,619,178,240,526,18,1037,14.15,0.246,12,Friday,2024-01
2024-01-19 14:00:00,Instagram,Video,8956,868,200,298,564,45,1366,15.25,0.502,14,Friday,2024-01
2024-01-19 16:00:00,Instagram,Video,7126,566,159,140,555,82,865,12.14,1.151,16,Friday,2024-01
2024-01-19 18:00:00,Instagram,Image,3789,245,45,173,295,22,463,12.22,0.581,18,Friday,2024-01
2024-01-19 20:00:00,Facebook,Image,3032,329,31,119,70,4,479,15.8,0.132,20,Friday,2024-01
2024-01-19 22:00:00,Instagram,Carousel,4253,334,51,96,210,19,481,11.31,0.447,22,Friday,2024-01
2024-01-20 00:00:00,Facebook,Image,2321,319,30,64,126,27,413,17.79,1.163,0,Saturday,2024-01
2024-01-20 02:00:00,Twitter,Image,2426,155,45,93,136,4,293,12.08,0.165,2,Saturday,2024-01
2024-01-20 04:00:00,Facebook,Carousel,3273,326,64,60,230,4,450,13.75,0.122,4,Saturday,2024-01
2024-01-20 06:00:00,Twitter,Video,5268,655,74,98,147,60,827,15.7,1.139,6,Saturday,2024-01
2024-01-20 08:00:00,Twitter,Text,2885,272,21,62,99,9,355,12.31,0.312,8,Saturday,2024-01
2024-01-20 10:00:00,Twitter,Story,1658,134,31,31,69,8,196,11.82,0.483,10,Saturday,2024-01
2024-01-20 12:00:00,Instagram,Carousel,5345,250,60,110,269,51,420,7.86,0.954,12,Saturday,2024-01
2024-01-20 14:00:00,Twitter,Carousel,4745,597,103,115,290,21,815,17.18,0.443,14,Saturday,2024-01
2024-01-20 16:00:00,Instagram,Story,4173,171,55,96,257,39,322,7.72,0.935,16,Saturday,2024-01
2024-01-20 18:00:00,Instagram,Video,6930,487,147,150,324,62,784,11.31,0.895,18,Saturday,2024-01
2024-01-20 20:00:00,Twitter,Video,5665,571,132,92,368,41,795,14.03,0.724,20,Saturday,2024-01
2024-01-20 22:00:00,Instagram,Video,6277,423,90,146,343,67,659,10.5,1.067,22,Saturday,2024-01
2024-01-21 00:00:00,Facebook,Story,4078,374,24,78,201,17,476,11.67,0.417,0,Sunday,2024-01
2024-01-21 02:00:00,Facebook,Video,5300,308,79,121,188,32,508,9.58,0.604,2,Sunday,2024-01
2024-01-21 04:00:00,Facebook,Carousel,3963,200,81,167,261,8,448,11.3,0.202,4,Sunday,2024-01
2024-01-21 06:00:00,Instagram,Text,3272,341,70,108,192,19,519,15.86,0.581,6,Sunday,2024-01
2024-01-21 08:00:00,Instagram,Story,3629,377,24,99,136,25,500,13.78,0.689,8,Sunday,2024-01
2024-01-21 10:00:00,Facebook,Image,2825,150,53,118,84,6,321,11.36,0.212,10,Sunday,2024-01
